id,old_path,is_permanent,redirect_link,redirect_page_id,site_id
216,/l/sexual_select,t,http://bio.research.ucsc.edu/~barrylab/classes/animal_behavior/BOX_3_1.HTM,,
217,/l/extremophiles,t,http://dsc.discovery.com/videos/curiosity-what-can-extremophiles-teach-us-about-extraterrestrial-life.html,,
218,/l/black_death2,t,http://www.guardian.co.uk/science/2011/oct/12/black-death-genome-sequenced-dna,,
219,/l/antibiotics2,t,http://www.cbsnews.com/video/watch/?id=6685926n,,
220,/l/malaria2,t,http://animal.discovery.com/videos/monsters-inside-me-malaria-parasite.html,,
221,/l/African_sleep2,t,http://animal.discovery.com/videos/monsters-inside-me-african-sleeping-sickness.html,,
222,/l/nanoscopy,t,http://v.jcb-dataviewer.glencoesoftware.com/webclient/img_detail/201/,,
223,/l/tissues,t,http://www.wisc-online.com/objects/ViewObject.aspx?ID=AP14404,,
224,/l/feedback_loops,t,http://www.youtube.com/watch?v=_QbD92p_EVs,,
225,/l/thermoregulate,t,http://www.youtube.com/watch?v=NJEBfl_LKno,,
226,/l/food_groups,t,http://www.choosemyplate.gov/food-groups/,,
227,/l/digest_enzymes,t,http://www.dnatube.com/video/1103/Digestion-of-protein-fat-and-carbohydrate,,
228,/l/enteric_endo,t,http://www.vivo.colostate.edu/hbooks/pathphys/digestion/basics/gi_endocrine.html,,
230,/l/nociceptive,t,http://www.youtube.com/watch?v=PMZdkac4YLk,,
231,/l/taste,t,http://www.bbc.co.uk/science/humanbody/body/factfiles/taste/taste_ani_f5.swf,,
232,/l/hearing,t,http://www.bbc.co.uk/science/humanbody/body/factfiles/hearing/hearing_animation.shtml,,
233,/l/ear_anatomy,t,http://www.wisc-online.com/objects/ViewObject.aspx?ID=AP1502,,
234,/l/eye_diagram,t,http://pathology.mc.duke.edu/neuropath/nawr/flash/visual.swf,,
235,/l/sense_of_sight,t,http://www.wisc-online.com/objects/ViewObject.aspx?ID=AP14304,,
236,/l/Darwin_project,t,http://darwinproject.mit.edu/research/,,
237,/l/freshwater,t,http://www.unep.org/dewa/vitalwater/index.html,,
238,/l/carbon_cycle,t,https://www.carboncyclescience.us,,
